customer_id,age,gender,location,tenure_months,estimated_income
70,19.0,Other,Urban,18,57537.37960399856
71,,Male,Urban,42,78599.41987455833
72,59.0,Male,Urban,40,71210.49700404241
73,21.0,Female,Urban,33,62500.657432589906
74,46.0,Male,Urban,15,79722.174141625
75,35.0,Male,Urban,35,51803.86890796155
76,43.0,Male,Urban,47,45497.38665125199
77,61.0,Female,Urban,46,66174.77894739054
78,51.0,Male,Urban,1,64630.80521376512
79,27.0,Male,Suburban,21,
80,53.0,Female,Urban,8,
81,31.0,Female,Urban,7,
82,48.0,Female,Urban,41,70589.43976178791
83,65.0,Male,Suburban,50,
84,32.0,Female,Urban,44,
85,25.0,Male,Suburban,40,64544.37804854468
86,31.0,Male,Suburban,40,92748.29038731422
87,40.0,Female,Urban,30,45797.43558329413
88,57.0,Male,Urban,38,
89,38.0,Male,Urban,35,57656.2953748919
90,33.0,Male,Urban,2,69321.02497741093
91,62.0,Male,Urban,46,58255.32715679125
92,35.0,Male,Urban,8,40993.39419981913
93,64.0,nan,Urban,38,39394.271948279784
94,41.0,Male,Urban,4,27556.688615837746
95,43.0,Male,Suburban,37,22500.9520225164
96,42.0,Male,Urban,21,53138.929444007066
97,62.0,Female,Rural,13,68480.6273626608
98,58.0,Female,Rural,9,63183.21590166887
99,46.0,Male,Rural,45,65017.81833176734
100,32.0,Female,Suburban,29,72636.56235539421
101,62.0,Male,Urban,41,86164.51960384555
102,18.0,Male,Urban,56,60552.823576831855
103,42.0,Male,Urban,24,66894.83184751474
104,24.0,Male,Urban,16,67027.97271134586
105,26.0,Male,Suburban,12,62946.188099596104
106,41.0,Female,Rural,2,60384.67859002797
107,18.0,Male,Urban,19,62006.27042726855
108,61.0,Female,Urban,30,91230.42610893156
109,25.0,Male,Urban,16,88649.129752286
110,41.0,Male,Urban,24,25857.64551695626
111,28.0,Male,Urban,13,64372.35013762
112,68.0,Female,Urban,5,60139.91893045446
113,34.0,Male,Suburban,23,85203.44649079852
114,25.0,Female,Urban,56,59284.25774717111
115,52.0,Male,Rural,38,65029.814339556026
116,52.0,Male,Suburban,31,47001.57817606149
117,50.0,Male,Suburban,53,76268.74823738859
118,22.0,Male,Urban,56,35121.65960362564
119,59.0,Male,Suburban,17,53893.01156857585
120,56.0,Male,Suburban,49,38915.49427994163
121,58.0,Female,Urban,49,53981.77018390733
122,45.0,Male,Urban,3,49020.884416973604
123,24.0,Female,Rural,26,76738.14938929399
124,26.0,Male,Urban,13,55621.69297639537
125,25.0,Female,Urban,44,89836.3746676057
126,29.0,Female,Urban,38,55181.59429734481
127,,Male,Suburban,22,38344.74971893715
128,50.0,Male,Suburban,21,55145.899685759105
129,65.0,Female,Urban,29,69536.40464357779
130,40.0,Female,Urban,45,
131,41.0,Male,Rural,46,47103.273049031006
132,54.0,Male,Suburban,39,93173.98314461808
133,,Female,Suburban,5,56201.63111600732
134,61.0,Male,Urban,14,51095.90986245998
135,57.0,Female,Urban,18,75513.22248733594
136,39.0,Male,Urban,4,88467.15589609748
137,44.0,Male,Suburban,33,71142.48294589967
138,52.0,Female,Urban,39,31701.864838196638
139,18.0,Female,Urban,20,66660.7136852396
140,52.0,Male,Urban,13,103493.27976228275
141,54.0,Male,Urban,36,14445.384372159744
142,64.0,Female,Suburban,45,
143,31.0,Female,Urban,4,54308.70379264773
144,20.0,Male,Suburban,35,41283.222546831996
145,18.0,Female,Rural,8,80667.72310277444
146,22.0,Female,Urban,52,25244.12950185799
147,43.0,Female,Suburban,40,52995.82904754108
148,31.0,Female,Rural,57,80022.55106213212
149,56.0,Male,Rural,49,77736.0716223298
150,44.0,Female,Urban,47,71929.17745994836
151,26.0,Female,Urban,36,63455.55505038703
152,32.0,Male,Urban,6,57520.0844669558
153,32.0,Male,Suburban,56,50595.976428375136
154,43.0,Male,Suburban,22,40573.625923077976
155,59.0,Female,Suburban,6,76265.19133741924
156,30.0,Male,Urban,42,64219.22892553982
157,68.0,Female,Urban,36,76858.52198953554
158,49.0,Female,Urban,9,44374.35411541547
159,56.0,Female,Urban,16,43938.53826085366
160,66.0,Female,Suburban,39,69932.39409831386
161,69.0,Other,Urban,46,14450.493024651616
162,49.0,Male,Urban,59,9423.524628358398
163,21.0,Female,Urban,38,80262.94108052689
164,47.0,Male,Urban,33,45856.242259645536
165,54.0,Female,Urban,18,63860.76149349976
166,40.0,Male,Urban,12,67592.97385562709
167,56.0,nan,Urban,54,80702.61727167724
168,62.0,Female,Urban,27,51200.69291728836
169,32.0,Female,Urban,47,52293.86356439331
170,60.0,Male,Suburban,1,47691.90997570215
171,46.0,Male,Urban,15,72422.02775484417
172,53.0,Female,Suburban,47,73309.88950841794
173,,Male,Suburban,27,85564.73846143819
174,49.0,Female,Urban,16,
175,24.0,Male,Rural,21,104675.24950195251
176,68.0,Female,Urban,1,53751.07146707971
177,39.0,Male,Suburban,29,59032.853833495865
178,45.0,Female,Rural,3,63268.54822471035
179,19.0,Female,Suburban,12,41784.24433680461
180,59.0,Male,Urban,28,51767.61332942851
181,,Male,Urban,39,
182,23.0,Male,Urban,37,89523.80557079292
183,45.0,Female,Suburban,31,
184,45.0,Female,Suburban,31,80875.74102487059
185,61.0,Female,Urban,58,68216.91652210834
186,61.0,Female,Urban,33,58856.98842665862
187,37.0,Male,Suburban,33,44924.819125077855
188,47.0,Male,Urban,47,42770.89684653458
189,28.0,Male,Suburban,40,44846.22028806943
190,45.0,Male,Suburban,11,92297.1433973639
191,42.0,Other,Urban,46,77464.7513471523
192,56.0,Female,Suburban,29,88819.57941847888
193,50.0,Male,Urban,25,67993.5842471119
194,18.0,Female,Urban,55,42390.07235881837
195,44.0,Female,Rural,13,72066.42551700788
196,69.0,Male,Suburban,51,85394.82643091184
197,30.0,Male,Urban,44,72795.02908216909
198,58.0,Male,Urban,54,33664.188821634554
199,20.0,Female,Urban,19,
200,56.0,Other,Urban,58,72727.9033334335
201,23.0,Female,Urban,36,53749.60400316714
202,25.0,Male,Urban,28,66247.77882903328
203,44.0,Male,Urban,4,45530.11580550147
204,26.0,Female,Urban,3,62534.79243305908
205,54.0,Female,Urban,58,37994.32466794661
206,50.0,Female,Rural,38,64942.44798211027
207,68.0,Female,Suburban,37,74566.88450661706
208,59.0,Male,Urban,43,75674.89617108523
209,61.0,Female,Urban,25,33866.27348838704
210,41.0,Female,Urban,41,69379.04004232044
211,32.0,Male,Urban,35,48248.2479124486
212,49.0,Female,Urban,29,90539.82790515175
213,49.0,Male,Suburban,41,79121.78253047928
214,41.0,Male,Suburban,29,60517.120937461914
215,58.0,Male,Suburban,12,103640.54325361345
216,69.0,Male,Urban,35,45446.09848391756
217,66.0,Male,Rural,20,58860.255397693894
218,66.0,Male,Rural,17,70826.53106669772
219,69.0,Female,Urban,53,100689.74096573185
220,29.0,Male,Urban,12,89272.20786997079
221,56.0,Male,Urban,57,76034.80347009793
222,19.0,Male,Urban,50,42451.44772301518
223,,Female,Suburban,36,42422.233264521245
224,66.0,Male,Urban,10,
225,54.0,Male,Urban,18,34950.57006035332
226,66.0,Female,Urban,30,66407.30879664895
227,,Female,Urban,8,76084.55399076505
228,66.0,Female,Suburban,41,30445.77361365349
229,19.0,Female,Urban,51,
230,19.0,Male,Suburban,13,
231,45.0,Female,Urban,31,52734.37777141533
232,40.0,Male,Urban,57,56866.73730030906
233,54.0,Male,Urban,6,24247.292734564573
234,49.0,Male,Suburban,54,57806.87203966867
235,50.0,Female,Urban,7,29487.422308486213
236,18.0,Male,Urban,21,46200.90008416446
237,36.0,Female,Urban,38,51955.062674680514
238,19.0,Female,Urban,43,36883.04824789974
239,61.0,Male,Rural,49,35060.26607846131
240,43.0,Female,Urban,51,36042.416432059465
241,49.0,Female,Urban,28,84414.24290434297
242,23.0,Female,Urban,57,58599.051580780106
243,49.0,Male,Suburban,44,85326.75713797775
244,21.0,Female,Urban,21,51902.87820157038
245,28.0,Male,Suburban,21,52332.236741567096
246,34.0,Female,Suburban,24,51529.005028950254
247,55.0,Female,Urban,27,361.3617431305029
248,41.0,Male,Urban,27,
249,22.0,Female,Urban,13,57861.44810180479
250,69.0,Female,Suburban,50,61028.08097179578
251,51.0,Female,Urban,29,18178.391508262503
252,23.0,Male,Urban,39,59427.392350781534
253,39.0,Male,Suburban,57,51228.964336932746
254,28.0,Other,Urban,55,
255,65.0,Female,Urban,28,58481.43162204164
256,33.0,Female,Urban,37,50292.112178121606
257,50.0,Male,Urban,29,71262.27054358646
258,26.0,Male,Urban,48,80493.92808212464
259,23.0,Female,Urban,22,51844.062235939986
260,33.0,Female,Rural,36,31032.881435585397
261,46.0,Male,Urban,30,32349.231215329968
262,20.0,Female,Suburban,28,68456.50277452606
263,37.0,Female,Suburban,23,85916.26351726498
264,53.0,Male,Urban,33,23728.0294107198
265,36.0,Male,Suburban,4,39642.741169735076
266,43.0,Male,Urban,3,53349.959809629654
267,20.0,Female,Rural,32,19195.410018292096
268,36.0,Male,Suburban,4,58066.74356470418
269,37.0,Male,Urban,1,67262.41596670068
270,49.0,Female,Urban,12,69595.96647993941
271,24.0,Male,Urban,13,
272,69.0,Male,Urban,34,52870.679947992365
273,58.0,Male,Urban,59,39574.649453772734
274,50.0,Female,Urban,29,24574.555685611936
275,57.0,Female,Suburban,9,56249.82854939022
276,56.0,Male,Urban,31,
277,35.0,Female,Suburban,7,60320.36997625886
278,57.0,Female,Suburban,13,
279,18.0,Male,Urban,54,66907.74361781559
280,28.0,Male,Suburban,2,73190.09658711778
281,45.0,Male,Urban,33,63354.067339498826
282,42.0,Male,Urban,50,97183.19440248236
283,67.0,Female,Suburban,7,50203.504006683084
284,40.0,Female,Urban,18,73575.42313306897
285,48.0,Male,Urban,51,64956.06696028643
286,47.0,Male,Suburban,8,74760.35501634797
287,59.0,Male,Rural,55,66670.16093511946
288,52.0,Female,Suburban,12,59152.15667512062
289,24.0,Male,Suburban,43,67564.48557333059
290,33.0,Female,Urban,59,70067.05496964512
291,43.0,Male,Urban,30,72672.50555846284
292,,Female,Suburban,59,89265.72861687829
293,69.0,Female,Urban,9,63873.7169346968
294,,Male,Urban,28,38052.50836214
295,19.0,Female,Urban,4,63291.81640918158
296,18.0,Other,Suburban,39,
297,65.0,Male,Urban,17,50553.65247952997
298,,Female,Suburban,11,53571.6006279424
299,22.0,Male,Urban,59,41945.41797038846
300,54.0,Female,Urban,2,12011.845112104427
301,49.0,Male,Urban,23,89504.05676807424
302,26.0,Female,Urban,50,50229.474379426116
303,58.0,Female,Suburban,22,25710.69870828432
304,52.0,Female,Urban,26,63576.1414797126
305,36.0,Female,Urban,12,72312.8143369247
306,65.0,Female,Urban,32,56438.714997641924
307,33.0,Male,Urban,9,34227.76411269737
308,20.0,Female,Urban,43,31687.719128159828
309,37.0,Female,Urban,5,105632.21938767383
310,41.0,Female,Rural,26,31792.608455166046
311,50.0,Female,Suburban,7,27419.982242817867
312,41.0,Female,Urban,29,53824.758445778854
313,69.0,Female,Urban,33,76436.96242826301
314,28.0,Male,Urban,24,93169.94680396779
315,66.0,Male,Urban,25,55734.03134106334
316,25.0,Male,Suburban,31,55457.915273330575
317,53.0,Male,Suburban,29,34320.68033137786
318,55.0,Female,Urban,5,81765.02965850093
319,,Male,Suburban,38,58605.57279723396
320,37.0,Male,Urban,45,59259.00938388578
321,52.0,nan,Urban,11,68668.77991540819
322,,Male,Urban,32,66036.7198098872
323,42.0,Male,Urban,8,57194.37067230092
324,52.0,Male,Rural,20,
325,42.0,Male,Urban,34,27926.25708845371
326,46.0,Female,Urban,47,
327,35.0,Female,Rural,42,68143.38562870615
328,63.0,Female,Suburban,8,51752.13522237943
329,,Male,Suburban,2,
330,19.0,Female,Rural,21,73261.77395962412
331,52.0,Male,Urban,15,82196.28730460332
332,33.0,Male,Suburban,6,57768.80645736139
333,,Male,Suburban,5,55657.02401292517
334,53.0,Male,Suburban,54,70783.88963285007
335,50.0,Male,Suburban,54,
336,21.0,Male,Urban,3,29573.12095072276
337,50.0,nan,Suburban,43,77248.46744436887
338,31.0,Male,Urban,43,23314.296381922366
339,38.0,Male,Urban,16,68033.5385780692
340,65.0,Male,Urban,35,110769.86918123462
341,37.0,Female,Rural,9,70664.29507288188
342,25.0,Male,Urban,35,46117.87837399343
343,24.0,Female,Urban,19,50972.71653489757
344,20.0,Other,Urban,43,67412.47532250953
345,34.0,Male,Rural,46,59572.564794680926
346,50.0,Male,Urban,34,
347,65.0,Male,Suburban,39,89001.67301449053
348,29.0,Female,Suburban,10,86288.24179922008
349,68.0,Male,Urban,10,
350,39.0,Male,Urban,20,60319.97540259385
351,39.0,Male,Suburban,1,69856.03273844968
352,63.0,Female,Rural,6,90338.8641033581
353,47.0,Male,Suburban,53,67183.48937318983
354,55.0,Male,Urban,46,46325.9942642641
355,55.0,Female,Suburban,59,68700.85469868936
356,62.0,Female,Urban,2,96385.7080186861
357,68.0,Female,Urban,38,54951.970559619986
358,25.0,Male,Suburban,33,
359,44.0,Female,Urban,3,59350.56859364931
360,44.0,Female,Suburban,36,46982.4927059959
361,51.0,Male,Urban,13,76539.76819022265
362,38.0,Female,Suburban,35,47128.14595768934
363,47.0,Male,Urban,15,85850.6593138558
364,50.0,Female,Urban,45,69905.72587778722
365,45.0,Male,Suburban,22,73939.95527924906
366,64.0,Female,Urban,43,73786.75313468937
367,50.0,Male,Urban,4,
368,22.0,Female,Rural,17,53812.54222495609
369,65.0,Male,Urban,5,40438.67316978528
370,36.0,Other,Rural,21,50476.824941894665
371,21.0,Female,Urban,57,78527.07544686025
372,52.0,Male,Urban,24,24670.379116950775
373,66.0,Female,Suburban,31,20007.98838106294
374,34.0,nan,Suburban,40,
375,61.0,Male,Urban,53,76884.84020211914
376,45.0,Male,Urban,56,79599.81325595667
377,47.0,Female,Suburban,30,40984.066746114695
378,46.0,Male,Urban,42,36408.76145374948
379,63.0,Male,Urban,7,46277.58750450656
380,,Male,Urban,49,52144.02628206411
381,52.0,Male,Urban,7,53293.98317753107
382,58.0,Male,Urban,27,62423.56051224893
383,54.0,Male,Urban,24,88112.50241190291
384,41.0,Female,Urban,19,58785.48189122332
385,46.0,Female,Urban,41,78752.99652394204
386,66.0,Male,Urban,56,73093.21352192997
387,63.0,Female,Suburban,34,45795.0563066688
388,48.0,Female,Urban,22,72861.89277710466
389,52.0,Female,Suburban,52,71487.8073031457
390,50.0,Male,Suburban,51,59988.996849997086
391,69.0,Male,Urban,27,63476.64356836069
392,38.0,Female,Suburban,6,58843.79360729215
393,49.0,Female,Urban,10,38159.43533327257
394,40.0,Female,Suburban,45,107313.51422542744
395,50.0,Female,Rural,31,81110.03824465099
396,20.0,Male,Urban,25,70544.18331856844
397,35.0,Female,Suburban,2,51895.027094311925
398,,Male,Urban,10,58164.1201079404
399,59.0,Male,Urban,10,36569.313495595416
400,48.0,Female,Suburban,26,69398.77760105718
401,20.0,Male,Urban,5,
402,57.0,Male,Urban,22,55868.86154882508
403,63.0,Female,Urban,4,60598.30850262587
404,41.0,Male,Suburban,55,54029.54168387639
405,67.0,Other,Urban,34,50117.32183088716
406,49.0,nan,Rural,7,44472.252562131645
407,64.0,Female,Urban,50,39583.650653793724
408,39.0,Male,Urban,17,45961.924169517326
409,40.0,Male,Suburban,11,47497.425544136764
410,19.0,Male,Urban,53,81783.98854086452
411,44.0,Male,Suburban,50,47627.160359409434
412,59.0,Male,Urban,8,19317.731454403423
413,,Other,Urban,28,65833.84034780196
414,43.0,Male,Urban,44,72472.17235066777
415,34.0,Female,Rural,56,79375.31204295663
416,57.0,Male,Urban,33,63323.28365774687
417,50.0,Female,Suburban,52,37197.822796194145
418,26.0,Female,Urban,25,44021.40749304945
419,60.0,Male,Urban,21,72003.28276919895
420,65.0,Male,Urban,12,89180.79560191234
421,56.0,Female,Rural,59,37142.13331113885
422,46.0,Female,Suburban,26,64238.355874308116
423,59.0,Female,Suburban,29,48901.191305810535
424,43.0,Male,Urban,38,43518.59824110057
425,52.0,Male,Urban,35,
426,67.0,Female,Urban,37,57327.055967955246
427,42.0,Female,Rural,46,19507.308917404276
428,41.0,Male,Urban,44,64031.84589561449
429,30.0,Female,Urban,45,66561.91416750391
430,24.0,Male,Urban,45,74946.43474434054
431,53.0,Male,Urban,29,48545.89098695803
432,62.0,Male,Urban,49,28243.349719322727
433,37.0,Male,Suburban,24,51573.80860534146
434,18.0,Female,Urban,59,74118.5232554584
435,25.0,Male,Suburban,15,58482.68360030391
436,63.0,Male,Suburban,6,76986.14772364867
437,33.0,Female,Urban,32,33981.93547406784
438,31.0,Female,Urban,44,76241.94619464764
439,29.0,Female,Urban,34,64980.90593221299
440,68.0,Female,Rural,36,
441,40.0,Male,Urban,20,81407.06076685927
442,32.0,Female,Urban,57,64800.483497710855
443,45.0,Female,Urban,57,40315.865206746865
444,51.0,Female,Urban,53,
445,19.0,Male,Urban,12,
446,49.0,Male,Urban,35,60738.929002785204
447,40.0,Female,Suburban,49,42734.128640046576
448,39.0,Male,Suburban,38,58966.44684596006
449,68.0,Female,Urban,56,41078.76367479199
450,42.0,Female,Urban,17,56556.12409374726
451,39.0,Female,Suburban,27,60613.59345030861
452,39.0,Female,Urban,17,72115.48215343549
453,66.0,Female,Suburban,11,31867.819959935114
454,69.0,Male,Urban,55,80059.97033818276
455,59.0,Female,Suburban,39,80686.04479040866
456,23.0,Female,Urban,2,56220.21954920569
457,32.0,Male,Urban,51,62581.10087957533
458,60.0,Male,Suburban,2,66130.4808664239
459,54.0,Male,Urban,54,61667.38678594891
460,50.0,Female,Urban,29,72068.58775366517
461,25.0,Male,Urban,45,
462,61.0,Female,Suburban,24,44797.431735650556
463,61.0,Male,Urban,24,68563.36068768674
464,22.0,Male,Suburban,16,29483.17431583525
465,56.0,Female,Urban,31,72380.89028541924
466,21.0,Male,Urban,49,74451.66196384901
467,23.0,Female,Suburban,43,44354.14856642643
468,62.0,Female,Urban,9,88441.73409310597
469,49.0,Female,Urban,27,52976.824242321374
470,69.0,Male,Urban,56,51255.18418650929
471,47.0,Female,Urban,41,46929.57500043672
472,64.0,Female,Suburban,14,68962.08470916071
473,52.0,Female,Urban,45,52172.77369353514
474,57.0,Female,Urban,25,31257.321535760402
475,69.0,Female,Urban,43,66832.3787800777
476,33.0,Female,Urban,44,54174.161256303974
477,30.0,Female,Urban,22,81718.52219372496
478,67.0,Male,Rural,35,66175.3454847814
479,59.0,Male,Suburban,33,65323.09641028868
480,47.0,Male,Urban,27,80290.14057838952
481,36.0,Male,Urban,40,63200.30963652491
482,34.0,Male,Rural,26,
483,36.0,Male,Urban,19,
484,45.0,Female,Urban,45,92920.77982818577
485,43.0,Male,Suburban,39,65508.63245006758
486,54.0,Female,Urban,45,35965.35360519791
487,43.0,Male,Urban,26,62757.12924539576
488,40.0,Male,Rural,6,63733.32238490533
489,26.0,Male,Suburban,3,
490,29.0,Male,Urban,6,14002.480967735843
491,18.0,Female,Urban,28,49038.331145546
492,18.0,Female,Urban,3,32342.98437536102
493,64.0,Male,Suburban,13,32632.870859406925
494,51.0,Male,Urban,13,63328.379455069866
495,49.0,Male,Urban,57,48783.19563412885
496,65.0,Female,Rural,13,52725.2283746012
497,42.0,Female,Urban,1,42101.24475579268
498,57.0,Female,Urban,40,87586.23889559334
499,62.0,Female,Urban,37,60797.6219420582
500,18.0,Female,Urban,31,29536.140151648084
501,33.0,Male,Urban,52,72880.96432843311
502,56.0,Male,Rural,17,53149.54525365902
503,22.0,Female,Suburban,9,83873.18122712182
504,39.0,Female,Urban,45,59837.736595592774
505,46.0,Female,Urban,57,46081.95518170908
506,20.0,Female,Urban,13,49159.0706799485
507,29.0,Male,Urban,37,51952.34306644416
508,43.0,Female,Urban,14,69795.12452725158
509,33.0,Female,Rural,11,44297.98700250994
510,68.0,Male,Urban,25,84873.6131869739
511,54.0,Female,Urban,31,67371.39393262984
512,39.0,Female,Urban,58,64488.04240785886
513,46.0,Male,Urban,14,61460.91634972464
514,31.0,Male,Urban,57,59597.96717011873
515,45.0,Male,Urban,7,34609.51209830507
516,22.0,Female,Urban,24,65850.6679113109
517,64.0,Male,Suburban,49,98514.69820252123
518,66.0,Female,Urban,36,73836.42820280176
519,47.0,Female,Urban,42,68769.1175718587
520,63.0,Male,Urban,42,29300.67474115971
521,69.0,Female,Suburban,47,81722.69553491981
522,22.0,nan,Urban,52,76050.04249316044
523,29.0,Male,Urban,44,83348.55541729652
524,33.0,Male,Urban,41,41922.86561248521
525,43.0,Female,Suburban,3,52002.64995085545
526,43.0,Female,Urban,47,30284.611888121643
527,65.0,Male,Urban,44,28598.81815751065
528,38.0,Male,Urban,26,48461.63466327852
529,56.0,Male,Urban,47,69355.30748633873
530,53.0,nan,Urban,26,51671.613949370825
531,50.0,Male,Urban,1,46617.056174691854
532,47.0,Female,Suburban,15,
533,54.0,Female,Suburban,11,-4843.11734726093
534,40.0,Male,Urban,37,49151.72858779786
535,27.0,Female,Urban,7,66765.9805141964
536,,Male,Urban,12,51931.451204682206
537,53.0,Female,Urban,52,
538,51.0,Male,Suburban,57,46774.12602401294
539,69.0,Female,Rural,38,48156.91817288885
540,48.0,Female,Urban,54,40279.046593126695
541,27.0,Male,Urban,3,44846.04220512482
542,36.0,Male,Urban,42,65540.2240598805
543,49.0,Male,Suburban,58,76162.12559915005
544,18.0,Male,Suburban,53,103098.35738063185
545,22.0,Female,Suburban,26,71548.32183173316
546,62.0,Female,Suburban,54,36443.19360086083
547,,Male,Urban,30,84833.02213987087
548,33.0,Female,Suburban,32,
549,41.0,Female,Suburban,36,60573.867202744936
550,33.0,Female,Urban,45,81346.1713421644
551,19.0,Male,Urban,51,
552,66.0,Male,Suburban,37,56220.17512662046
553,45.0,Male,Urban,55,
554,49.0,Female,Suburban,59,86548.59913498524
555,44.0,Male,Suburban,54,113126.24503579398
556,37.0,Male,Suburban,18,62897.69334794196
557,41.0,Male,Suburban,1,60618.24193302654
558,29.0,Female,Urban,53,63442.34693461659
559,67.0,Male,Suburban,21,68986.60065713087
560,52.0,Male,Urban,28,31830.556681007987
561,50.0,Male,Urban,48,66117.95951754737
562,50.0,Male,Urban,16,65469.125315928904
563,68.0,Female,Urban,48,64318.5830203795
564,,Male,Urban,28,63340.09548455141
565,54.0,Male,Rural,22,61925.54748799059
566,29.0,Female,Urban,19,17973.69102011821
567,20.0,Male,Urban,48,45579.11986760985
568,18.0,Male,Urban,1,77117.16764484657
569,50.0,Female,Urban,31,81808.97801582009
570,57.0,Male,Suburban,52,51542.71545666218
571,27.0,Male,Urban,52,40869.506557361085
572,60.0,Male,Suburban,42,74339.3095446278
573,,Female,Suburban,34,65456.71121688143
574,46.0,Female,Urban,46,57558.609350314735
575,30.0,Female,Suburban,40,77237.07720208442
576,29.0,Female,Urban,6,36425.507269385394
577,48.0,Male,Urban,28,83219.19229476462
578,,Male,Suburban,3,29959.371805402192
579,19.0,Female,Suburban,31,43495.376303769095
580,68.0,Female,Urban,16,39182.077045559054
581,,Male,Urban,17,48350.869106661485
582,52.0,Female,Urban,44,66121.59273061696
583,40.0,Male,Urban,27,73568.47762272588
584,34.0,Male,Rural,51,
585,43.0,Male,Urban,24,34447.759639256845
586,25.0,Male,Urban,20,
587,46.0,Female,Suburban,32,76927.44294465572
588,43.0,Female,Urban,35,
589,27.0,Male,Urban,13,81417.47545048529
590,43.0,Male,Rural,48,57351.01625620293
591,51.0,Female,Suburban,43,73363.10239620814
592,68.0,Male,Suburban,20,47209.0847930563
593,58.0,Female,Urban,59,69611.85544785632
594,24.0,Male,Suburban,48,50406.441176738386
595,21.0,Female,Urban,52,43714.95087838863
596,67.0,Male,Urban,2,64639.944518079734
597,62.0,Male,Rural,4,
598,28.0,Male,Urban,27,78232.22926005546
599,,Male,Suburban,25,34308.69532057889
600,53.0,Male,Urban,4,78542.3011701161
601,42.0,Female,Urban,32,62597.84340586176
602,38.0,Male,Suburban,17,81359.18453472017
603,53.0,Male,Urban,1,81152.70639983201
604,27.0,Female,Suburban,33,11329.214537601532
605,,Female,Urban,30,80972.66300818278
606,26.0,Other,Rural,5,81861.38519833595
607,41.0,Female,Urban,54,34833.719300397235
608,52.0,Male,Urban,12,28762.4112775528
609,66.0,Female,Urban,38,75494.4788995119
610,52.0,Female,Rural,32,62272.224754498944
611,65.0,Female,Suburban,38,47151.620952385616
612,53.0,Male,Suburban,57,88775.659794865
613,35.0,Male,Urban,17,66050.80968109335
614,66.0,Male,Urban,58,18281.585842643733
615,56.0,Female,Urban,54,39648.28437741601
616,49.0,Female,Urban,45,80846.75469805278
617,41.0,Female,Urban,40,60715.99835579277
618,40.0,Male,Rural,32,45605.329340157215
619,49.0,Female,Suburban,24,
